

wavelength(nm), Y
1551.29, -33.4916
1551.28, -33.5475
1551.26, -33.6043
1551.25, -33.662
1551.23, -33.7206
1551.22, -33.7801
1551.2, -33.8405
1551.19, -33.9019
1551.17, -33.9642
1551.16, -34.0275
1551.14, -34.0918
1551.13, -34.1571
1551.12, -34.2234
1551.1, -34.2907
1551.09, -34.3591
1551.07, -34.4285
1551.06, -34.499
1551.04, -34.5706
1551.03, -34.6432
1551.01, -34.7171
1551, -34.792
1550.98, -34.8682
1550.97, -34.9455
1550.95, -35.024
1550.94, -35.1038
1550.92, -35.1848
1550.91, -35.2671
1550.89, -35.3507
1550.88, -35.4356
1550.86, -35.5218
1550.85, -35.6094
1550.83, -35.6985
1550.82, -35.7889
1550.8, -35.8808
1550.79, -35.9742
1550.77, -36.0692
1550.76, -36.1656
1550.74, -36.2637
1550.73, -36.3634
1550.71, -36.4647
1550.7, -36.5677
1550.68, -36.6725
1550.67, -36.7791
1550.65, -36.8874
1550.64, -36.9976
1550.62, -37.1098
1550.61, -37.2239
1550.59, -37.34
1550.58, -37.4581
1550.56, -37.5784
1550.55, -37.7008
1550.54, -37.8255
1550.52, -37.9524
1550.51, -38.0817
1550.49, -38.2134
1550.48, -38.3477
1550.46, -38.4844
1550.45, -38.6239
1550.43, -38.766
1550.42, -38.911
1550.4, -39.0588
1550.39, -39.2097
1550.37, -39.3636
1550.36, -39.5207
1550.34, -39.6812
1550.33, -39.845
1550.31, -40.0124
1550.3, -40.1835
1550.28, -40.3583
1550.27, -40.5371
1550.25, -40.72
1550.24, -40.9072
1550.22, -41.0987
1550.21, -41.2949
1550.19, -41.4959
1550.18, -41.7018
1550.16, -41.9129
1550.15, -42.1295
1550.13, -42.3517
1550.12, -42.5798
1550.1, -42.814
1550.09, -43.0548
1550.07, -43.3023
1550.06, -43.5569
1550.04, -43.8189
1550.03, -44.0886
1550.01, -44.3666



