

wavelength(nm), Y
1341.35, 0.578592
1341.33, 0.58011
1341.31, 0.581626
1341.29, 0.583139
1341.26, 0.584651
1341.24, 0.58616
1341.22, 0.587667
1341.2, 0.589172
1341.18, 0.590675
1341.16, 0.592176
1341.13, 0.593674
1341.11, 0.59517
1341.09, 0.596663
1341.07, 0.598154
1341.05, 0.599642
1341.02, 0.601127
1341, 0.60261
1340.98, 0.60409
1340.96, 0.605567
1340.94, 0.607042
1340.92, 0.608513
1340.89, 0.609981
1340.87, 0.611446
1340.85, 0.612908
1340.83, 0.614367
1340.81, 0.615823
1340.78, 0.617275
1340.76, 0.618724
1340.74, 0.62017
1340.72, 0.621613
1340.7, 0.623053
1340.68, 0.62449
1340.65, 0.625923
1340.63, 0.627354
1340.61, 0.628782
1340.59, 0.630206
1340.57, 0.631628
1340.54, 0.633047
1340.52, 0.634464
1340.5, 0.635878
1340.48, 0.637289
1340.46, 0.638698
1340.44, 0.640104
1340.41, 0.641508
1340.39, 0.642909
1340.37, 0.644309
1340.35, 0.645705
1340.33, 0.6471
1340.3, 0.648492
1340.28, 0.649881
1340.26, 0.651268
1340.24, 0.652653
1340.22, 0.654035
1340.2, 0.655414
1340.17, 0.656791
1340.15, 0.658164
1340.13, 0.659535
1340.11, 0.660902
1340.09, 0.662266
1340.06, 0.663627
1340.04, 0.664984
1340.02, 0.666338
1340, 0.667688
1339.98, 0.669034
1339.96, 0.670376
1339.93, 0.671714
1339.91, 0.673048
1339.89, 0.674377
1339.87, 0.675702
1339.85, 0.677023
1339.82, 0.67834
1339.8, 0.679652
1339.78, 0.68096
1339.76, 0.682264
1339.74, 0.683563
1339.72, 0.684858
1339.69, 0.686149
1339.67, 0.687436
1339.65, 0.688719
1339.63, 0.689998
1339.61, 0.691272
1339.59, 0.692544
1339.56, 0.693811
1339.54, 0.695075
1339.52, 0.696335
1339.5, 0.697592
1339.48, 0.698846
1339.45, 0.700096
1339.43, 0.701342
1339.41, 0.702586
1339.39, 0.703826
1339.37, 0.705063
1339.35, 0.706297
1339.32, 0.707527
1339.3, 0.708754
1339.28, 0.709977
1339.26, 0.711197
1339.24, 0.712413
1339.22, 0.713626
